JZ 
101115,31249,城区  0.95,50001
98962,25346,城区  1.03,50002
106187,22559,城区  1.11,50003
106775,31020,城区  0.96,50004
103868,31163,城区  1.04,50005
106236,21440,城区  1.10,50006
104397,20658,城区  0.94,50007
97118,34740,城区  1.06,50008
97191,28246,城区  0.87,50009
101688,32532,城区  1.07,50010
96648,29782,城区  0.98,50011
103226,32688,城区  0.97,50012
107397,24202,城区  0.89,50013
106412,20069,城区  1.11,50014
107730,33395,城区  0.93,50015
104499,21468,城区  1.06,50016
95708,26076,城区  1.06,50017
105956,34928,城区  1.01,50018
101105,28564,城区  1.06,50019
108396,34777,城区  0.94,50020
96149,25177,城区  0.86,50021
96823,20733,城区  0.99,50022
100535,29639,城区  0.87,50023
103997,25031,城区  0.99,50024
99430,21245,城区  1.10,50025
109589,29568,城区  0.96,50026
109342,32016,城区  0.89,50027
106231,22405,城区  0.99,50028
105617,29989,城区  1.12,50029
95631,26923,城区  1.01,50030
98079,30023,城区  1.03,50031
109831,23583,城区  1.02,50032
107885,34691,城区  1.13,50033
107919,23674,城区  1.04,50034
105766,21787,城区  1.07,50035
99030,27800,城区  1.13,50036
109172,32329,城区  0.92,50037
97497,33647,城区  0.92,50038
96208,30301,城区  1.10,50039
104192,28536,城区  0.91,50040
96262,28305,城区  0.95,50041
96464,21080,城区  0.91,50042
107656,30618,城区  1.12,50043
108723,24695,城区  0.91,50044
98468,20132,城区  0.94,50045
109805,22150,城区  0.99,50046
95270,27451,城区  1.10,50047
99065,34538,城区  1.04,50048
99023,34177,城区  1.03,50049
107934,23375,城区  0.98,50050
109665,20374,城区  0.99,50051
97097,23438,城区  1.12,50052
101250,33136,城区  0.87,50053
96067,33015,城区  1.13,50054
105272,34633,城区  1.01,50055
96929,30331,城区  0.99,50056
104229,28775,城区  0.93,50057
100326,25683,城区  0.86,50058
97499,30021,城区  0.95,50059
96872,24116,城区  0.96,50060
104508,25388,城区  1.04,50061
95330,20686,城区  0.93,50062
108527,32185,城区  0.89,50063
100771,31916,城区  1.14,50064
97576,30914,城区  0.95,50065
96052,22063,城区  1.11,50066
97299,29080,城区  0.94,50067
107358,31011,城区  1.12,50068
98244,30905,城区  0.90,50069
104313,28691,城区  0.87,50070
104172,31845,城区  1.04,50071
106277,22674,城区  1.02,50072
99907,31904,城区  0.88,50073
97608,33951,城区  1.02,50074
103584,23261,城区  0.88,50075
97106,27763,城区  1.02,50076
101193,34374,城区  0.91,50077
101169,31818,城区  1.11,50078
96769,31557,城区  1.08,50079
108969,23116,城区  0.97,50080
102215,30633,城区  1.04,50081
95508,25449,城区  1.04,50082
95760,22717,城区  1.00,50083
109905,21710,城区  0.94,50084
100635,27325,城区  0.95,50085
103574,26762,城区  0.99,50086
97317,23964,城区  0.86,50087
95125,29737,城区  0.86,50088
105807,22441,城区  0.92,50089
108225,28789,城区  0.93,50090
105324,28726,城区  0.89,50091
99556,21707,城区  0.92,50092
109617,22470,城区  1.09,50093
103996,21872,城区  0.90,50094
106211,24938,城区  0.87,50095
95413,32954,城区  1.08,50096
95499,27401,城区  1.03,50097
100010,29522,城区  1.01,50098
109489,23976,城区  1.04,50099
104054,26733,城区  1.14,50100
97188,20921,城区  1.10,50101
103198,26611,城区  1.05,50102
103513,23122,城区  1.07,50103
104621,24146,城区  0.89,50104
102975,21844,城区  1.10,50105
109558,22403,城区  1.03,50106
98280,27441,城区  0.85,50107
107488,21363,城区  1.06,50108
101579,30798,城区  0.94,50109
99862,22264,城区  0.87,50110
106803,21027,城区  0.99,50111
101258,24563,城区  1.06,50112
109243,30908,城区  0.98,50113
101024,21996,城区  1.00,50114
96797,28482,城区  1.11,50115
101254,24265,城区  0.94,50116
108631,27639,城区  0.99,50117
101130,30661,城区  0.88,50118
109640,20000,城区  1.04,50119
106544,29482,城区  1.08,50120
106275,21644,城区  0.98,50121
104808,20599,城区  0.99,50122
99521,32594,城区  1.04,50123
104145,25163,城区  0.92,50124
102095,21819,城区  0.93,50125
7643,33168,城区  1.02,50126
369,17906,城区  0.94,50127
18899,20839,城区  0.97,50128
6495,37061,城区  0.97,50129
5065,20971,城区  0.97,50130
146,36553,城区  0.87,50131
23454,24303,城区  0.89,50132
3555,22067,城区  0.89,50133
16206,26976,城区  1.04,50134
23247,29427,城区  1.08,50135
18897,37352,城区  0.94,50136
3146,24660,城区  0.90,50137
8683,16369,城区  1.01,50138
21304,20124,城区  1.13,50139
12715,18761,城区  0.89,50140
923,22238,城区  1.11,50141
19093,35048,城区  0.89,50142
13740,35331,城区  0.99,50143
21404,29805,城区  0.98,50144
1364,21432,城区  0.97,50145
984,25312,城区  0.92,50146
13752,34941,城区  0.90,50147
12079,32870,城区  1.05,50148
23783,18023,城区  0.98,50149
24365,28466,城区  0.87,50150
11767,20429,城区  0.87,50151
3731,37132,城区  0.92,50152
1114,35055,城区  0.91,50153
1289,37577,城区  0.98,50154
4203,39402,城区  1.14,50155
6473,18797,城区  1.02,50156
7310,16908,城区  0.93,50157
23367,16167,城区  0.93,50158
20731,15945,城区  0.97,50159
5959,16589,城区  0.87,50160
6539,37080,城区  0.85,50161
3953,21081,城区  1.08,50162
17253,32435,城区  0.93,50163
10862,24615,城区  1.14,50164
6346,18078,城区  0.92,50165
6474,30489,城区  1.05,50166
646,25218,城区  0.98,50167
20592,33564,城区  1.03,50168
3163,22856,城区  1.07,50169
6046,15540,城区  1.12,50170
784,34359,城区  1.11,50171
7142,29244,城区  1.03,50172
23664,37806,城区  1.02,50173
7078,18492,城区  0.87,50174
4204,20870,城区  1.11,50175
9464,22716,城区  0.99,50176
11506,19607,城区  0.92,50177
21054,24142,城区  0.93,50178
1081,16606,城区  0.90,50179
7589,29783,城区  1.09,50180
18315,30308,城区  0.98,50181
21152,32294,城区  0.89,50182
22020,36475,城区  1.08,50183
24884,20432,城区  0.93,50184
868,21778,城区  1.08,50185
13045,17098,城区  0.95,50186
7584,17470,城区  1.13,50187
1644,17407,城区  1.03,50188
7615,21328,城区  1.10,50189
6042,30293,城区  1.11,50190
3583,34767,城区  1.14,50191
9745,26394,城区  1.10,50192
16672,38377,城区  1.02,50193
3033,17669,城区  0.99,50194
3434,20560,城区  0.93,50195
855,16823,城区  0.94,50196
13776,31115,城区  1.00,50197
450,17919,城区  1.09,50198
7310,19645,城区  1.13,50199
19083,19231,城区  1.07,50200
4139,38208,城区  1.06,50201
11337,18282,城区  1.05,50202
13328,19274,城区  0.87,50203
18854,35892,城区  1.00,50204
18995,30036,城区  1.06,50205
344,22585,城区  1.14,50206
6379,31508,城区  1.11,50207
3381,16806,城区  1.03,50208
9356,32104,城区  1.02,50209
